,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
103,75.0,2013,,,,,False,True,,,34.316,-117.352,False,Silverwood Fire,,2013-07-25 15:09:00+00:00,ed51bbd2-6f8e-4f46-9073-3673a583fada,2013-07-26 18:15:00+00:00,27.1
104,75.0,2013,15.0,13.0,13.0,,False,True,,,37.169379,-119.75636000000002,True,Revis Fire,221.0,2013-06-12 16:40:00+00:00,7055a440-5d4c-4f58-bac9-2954ff6698a5,2013-06-14 16:30:00+00:00,47.833333333333336
105,75.0,2013,13.0,,21.0,,False,True,,1.0,34.1834,-117.4408,True,Lytle Fire,292.0,2013-05-13 13:30:00+00:00,e2c4b308-9a2d-483b-8434-999bef9adc7c,2013-05-15 08:15:00+00:00,42.75
106,75.0,2013,,,,,False,True,,,38.441792,-122.350844,False,Silverado Fire,,2013-04-30 23:44:00+00:00,d8d1c943-7b5d-4885-9043-f41075d6eded,2013-05-01 17:15:00+00:00,17.516666666666666
107,73.0,2013,,,,,False,True,,,34.003151,-117.106075,False,Liveoak Fire,,2013-09-11 16:57:00+00:00,31f21c59-8a94-4b17-91aa-88ca14817162,2013-09-12 08:45:00+00:00,15.8
108,73.0,2013,,,,,False,True,,,39.205999999999996,-121.31634,False,McGanney Fire,,2013-07-08 09:59:00+00:00,397ed8e6-6088-4e03-9316-8f50c65a83be,2013-07-08 17:30:00+00:00,7.516666666666667
110,70.0,2013,2.0,4.0,10.0,,False,True,,,39.013682,-122.49189399999999,True,Double Fire,,2013-08-16 17:57:00+00:00,ae025ba5-8b5d-48de-ad5e-3037de3d18e9,2013-08-18 18:30:00+00:00,48.55
111,68.0,2013,,,,,False,True,,,41.568999999999996,-120.959,False,Rail Fire,,2013-09-07 17:30:00+00:00,0875cf4e-9948-45ed-a76d-d74564319b49,2013-09-05 21:00:00+00:00,-44.5
112,64.0,2013,,,,,False,True,,,34.384,-119.13248999999999,False,Wheeler Fire,,2013-11-14 11:05:00+00:00,0adb968c-eb85-41c5-8e08-04c0ec386c79,2013-11-15 16:00:00+00:00,28.916666666666668
114,60.0,2013,,,,,False,True,,,33.910270000000004,-116.99895,False,Relay Fire,,2013-08-04 16:29:00+00:00,0658b1f8-5323-4152-b6d1-b208736587db,2013-08-04 18:00:00+00:00,1.5166666666666666
115,52.0,2013,,,,,False,True,,,39.333401,-121.107022,False,Tyler Fire,,2013-08-31 14:42:00+00:00,1476673c-df55-4c39-b117-d9d067f8a020,2013-08-31 21:30:00+00:00,6.8
116,51.0,2013,5.0,3.0,15.0,,False,True,2.0,,35.457978000000004,-120.75155500000001,True,Toro Fire,219.0,2013-11-08 10:30:00+00:00,587c03e3-4831-47c1-8c03-c08176e91b11,2013-11-09 17:00:00+00:00,30.5
117,50.0,2013,,,,,False,True,,,39.0448,-122.7656,False,Bruner Fire,,2013-11-23 12:04:00+00:00,3f3e234c-04e1-4941-a79f-23ddc419bf59,2013-11-24 08:45:00+00:00,20.683333333333334
118,50.0,2013,,,,,False,True,,,41.923322999999996,-122.57839299999999,False,Cottonwood Fire,,2013-08-15 14:40:00+00:00,e16c204e-58d6-4f78-bc97-729b16ef9f83,2013-08-15 17:00:00+00:00,2.3333333333333335
119,50.0,2013,,,,,False,True,,,37.1438,-121.7804,False,Uvas Fire,,2013-07-12 13:09:00+00:00,e779a754-29fd-472f-8d29-46cfee32d3c2,2013-07-12 17:45:00+00:00,4.6
120,50.0,2013,,,,,False,True,,,37.7393,-121.5869,False,Grant Fire,,2013-07-04 10:00:00+00:00,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,2013-07-04 11:30:00+00:00,1.5
121,50.0,2013,,,,,False,True,,,35.5123,-120.6368,False,Homestead Fire,,2013-05-25 17:35:00+00:00,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,2013-05-25 18:45:00+00:00,1.1666666666666667
122,46.0,2013,18.0,18.0,30.0,,False,True,18.0,2.0,38.06231,-120.45233,True,Bridges Fire,169.0,2013-08-17 10:11:00+00:00,10445e2c-979d-49a2-82c2-c3789bd2449a,2013-08-19 07:10:00+00:00,44.983333333333334
123,46.0,2013,,,,,False,True,,,37.03087,-119.463757,False,Sierra Fire,,2013-06-17 14:41:00+00:00,15e7e15d-f707-473e-b0f3-6534cfd845b7,2013-06-19 08:45:00+00:00,42.06666666666667
124,45.0,2013,,,,,False,True,,,38.980846,-123.06767099999999,False,Pratt Fire,,2013-07-23 13:29:00+00:00,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,2013-07-23 16:00:00+00:00,2.5166666666666666
126,43.0,2013,,,,,False,True,,,40.373000000000005,-122.7338,False,Fiddler Fire,,2013-07-09 11:59:00+00:00,3f64fc8a-8870-4e64-b60a-3e13c8532acd,2013-07-09 15:00:00+00:00,3.0166666666666666
127,42.0,2013,,,,,False,True,,,33.969359999999995,-117.1265,False,Viper Fire,,2013-06-08 15:37:00+00:00,e9505435-e861-4f33-9069-b0040fb2a135,2013-06-08 19:00:00+00:00,3.3833333333333333
128,41.0,2013,,,,,False,True,,,37.667295,-122.42728500000001,False,Chestnut Fire,,2013-09-07 13:55:00+00:00,b30ee931-f349-4d21-a38a-d346c516b104,2013-09-07 20:00:00+00:00,6.083333333333333
